TIME,dpStatusHTTPMeanTransactionTime2serviceClass,dpStatusHTTPMeanTransactionTime2proxy,dpStatusHTTPMeanTransactionTime2tenSeconds,dpStatusHTTPMeanTransactionTime2oneMinute,dpStatusHTTPMeanTransactionTime2tenMinutes,dpStatusHTTPMeanTransactionTime2oneHour,dpStatusHTTPMeanTransactionTime2oneDay
1580208864.17617,multiProtocolGateway,customDomains,85,118,111,104,95
1580208864.17617,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580208864.17617,multiProtocolGateway,mbaas_uri_to_host,95,177,136,144,153
1580208864.17617,multiProtocolGateway,stats,0,0,0,0,0
1580209464.622165,multiProtocolGateway,CustomDomainsApiRouter,0,0,188,188,75
1580209464.622165,multiProtocolGateway,customDomains,114,108,111,106,95
1580209464.622165,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580209464.622165,multiProtocolGateway,mbaas_uri_to_host,107,123,175,148,153
1580209464.622165,multiProtocolGateway,stats,0,0,0,0,0
1580210065.218534,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,188,75
1580210065.218534,multiProtocolGateway,customDomains,101,103,112,108,95
1580210065.218534,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580210065.218534,multiProtocolGateway,mbaas_uri_to_host,121,227,158,145,153
1580210065.218534,multiProtocolGateway,stats,0,0,0,0,0
1580210665.710425,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,188,75
1580210665.710425,multiProtocolGateway,customDomains,85,106,97,106,95
1580210665.710425,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580210665.710425,multiProtocolGateway,mbaas_uri_to_host,131,141,148,148,153
1580210665.710425,multiProtocolGateway,stats,0,0,0,0,0
1580211266.245379,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,188,75
1580211266.245379,multiProtocolGateway,customDomains,99,94,89,104,95
1580211266.245379,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580211266.245379,multiProtocolGateway,mbaas_uri_to_host,129,152,147,150,153
1580211266.245379,multiProtocolGateway,stats,0,0,0,0,0
1580211866.715797,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,188,112
1580211866.715797,multiProtocolGateway,customDomains,89,95,96,103,95
1580211866.715797,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580211866.715797,multiProtocolGateway,mbaas_uri_to_host,131,136,147,152,153
1580211866.715797,multiProtocolGateway,stats,0,0,0,0,0
1580212467.241442,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,188,112
1580212467.241442,multiProtocolGateway,customDomains,90,107,102,101,95
1580212467.241442,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580212467.241442,multiProtocolGateway,mbaas_uri_to_host,194,227,169,156,153
1580212467.241442,multiProtocolGateway,stats,0,0,0,0,0
1580213067.761037,multiProtocolGateway,CustomDomainsApiRouter,0,0,240,240,112
1580213067.761037,multiProtocolGateway,customDomains,96,107,104,100,95
1580213067.761037,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580213067.761037,multiProtocolGateway,mbaas_uri_to_host,109,145,143,154,153
1580213067.761037,multiProtocolGateway,stats,0,0,0,0,0
1580213668.325072,multiProtocolGateway,CustomDomainsApiRouter,0,0,65,109,112
1580213668.325072,multiProtocolGateway,customDomains,109,105,101,98,95
1580213668.325072,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580213668.325072,multiProtocolGateway,mbaas_uri_to_host,126,129,152,155,153
1580213668.325072,multiProtocolGateway,stats,0,0,0,0,0
1580214268.871311,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,109,112
1580214268.871311,multiProtocolGateway,customDomains,124,91,98,99,95
1580214268.871311,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580214268.871311,multiProtocolGateway,mbaas_uri_to_host,120,117,130,149,153
1580214268.871311,multiProtocolGateway,stats,0,0,0,0,0
1580214869.280772,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,109,112
1580214869.280772,multiProtocolGateway,customDomains,103,106,99,100,95
1580214869.280772,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580214869.280772,multiProtocolGateway,mbaas_uri_to_host,121,159,140,148,153
1580214869.280772,multiProtocolGateway,stats,0,0,0,0,0
1580215469.736186,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,109,110
1580215469.736186,multiProtocolGateway,customDomains,129,102,99,100,95
1580215469.736186,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580215469.736186,multiProtocolGateway,mbaas_uri_to_host,101,121,132,146,153
1580215469.736186,multiProtocolGateway,stats,0,0,0,0,0
1580216070.378339,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,109,110
1580216070.378339,multiProtocolGateway,customDomains,141,109,98,100,95
1580216070.378339,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580216070.378339,multiProtocolGateway,mbaas_uri_to_host,117,105,141,143,153
1580216070.378339,multiProtocolGateway,stats,0,0,0,0,0
1580216670.875904,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,65,110
1580216670.875904,multiProtocolGateway,customDomains,60,96,108,100,95
1580216670.875904,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580216670.875904,multiProtocolGateway,mbaas_uri_to_host,108,141,131,137,153
1580216670.875904,multiProtocolGateway,stats,0,0,0,0,0
1580217271.430232,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,110
