TIME,dpStatusNetworkReceiveDataThroughputInterfaceType,dpStatusNetworkReceiveDataThroughputInterfaceName,dpStatusNetworkReceiveDataThroughputTenSecondsBits,dpStatusNetworkReceiveDataThroughputOneMinuteBits,dpStatusNetworkReceiveDataThroughputTenMinutesBits,dpStatusNetworkReceiveDataThroughputOneHourBits,dpStatusNetworkReceiveDataThroughputOneDayBits
1579817813.349748,ethernet,eth1-vip,0,0,0,0,0
1579817813.349748,ethernet,eth2,12,12,12,12,12
1579817813.349748,ethernet,eth3,0,0,0,0,0
1579818413.834198,ethernet,eth0,10140,9052,5232,20567,67871
1579818413.834198,ethernet,eth0-vip,0,0,0,0,0
1579818413.834198,ethernet,eth1,14392,12971,13036,23125,76107
1579818413.834198,ethernet,eth1-vip,0,0,0,0,0
1579818413.834198,ethernet,eth2,12,12,12,12,12
1579818413.834198,ethernet,eth3,0,0,0,0,0
1579819014.310587,ethernet,eth0,15752,9095,63751,28213,67871
1579819014.310587,ethernet,eth0-vip,0,0,0,0,0
1579819014.310587,ethernet,eth1,10554,11522,67241,22855,76107
1579819014.310587,ethernet,eth1-vip,0,0,0,0,0
1579819014.310587,ethernet,eth2,12,12,12,12,12
1579819014.310587,ethernet,eth3,0,0,0,0,0
1579819614.778917,ethernet,eth0,3947,4343,5640,18379,67871
1579819614.778917,ethernet,eth0-vip,0,0,0,0,0
1579819614.778917,ethernet,eth1,9632,10547,10739,31634,76107
1579819614.778917,ethernet,eth1-vip,0,0,0,0,0
1579819614.778917,ethernet,eth2,12,12,12,12,12
1579819614.778917,ethernet,eth3,0,0,0,0,0
1579820215.259354,ethernet,eth0,4159,3423,4302,17362,67871
1579820215.259354,ethernet,eth0-vip,0,0,0,0,0
1579820215.259354,ethernet,eth1,10566,10687,11602,31080,76107
1579820215.259354,ethernet,eth1-vip,0,0,0,0,0
1579820215.259354,ethernet,eth2,13,12,12,12,12
1579820215.259354,ethernet,eth3,0,0,0,0,0
1579820815.72931,ethernet,eth0,2440,3559,4238,16797,67681
1579820815.72931,ethernet,eth0-vip,0,0,0,0,0
1579820815.72931,ethernet,eth1,9625,9738,10342,21466,75655
1579820815.72931,ethernet,eth1-vip,0,0,0,0,0
1579820815.72931,ethernet,eth2,12,12,12,12,12
1579820815.72931,ethernet,eth3,0,0,0,0,0
1579821416.25279,ethernet,eth0,4482,5233,4194,15721,67681
1579821416.25279,ethernet,eth0-vip,0,0,0,0,0
1579821416.25279,ethernet,eth1,9575,9741,9736,20937,75655
1579821416.25279,ethernet,eth1-vip,0,0,0,0,0
1579821416.25279,ethernet,eth2,12,13,12,12,12
1579821416.25279,ethernet,eth3,0,0,0,0,0
1579822016.72154,ethernet,eth0,8880,5716,4158,14658,67681
1579822016.72154,ethernet,eth0-vip,0,0,0,0,0
1579822016.72154,ethernet,eth1,11354,11049,65637,20412,75655
1579822016.72154,ethernet,eth1-vip,0,0,0,0,0
1579822016.72154,ethernet,eth2,13,12,12,12,12
1579822016.72154,ethernet,eth3,0,0,0,0,0
1579822617.188168,ethernet,eth0,2590,2756,4452,5037,67681
1579822617.188168,ethernet,eth0-vip,0,0,0,0,0
1579822617.188168,ethernet,eth1,7096,7302,8923,29208,75655
1579822617.188168,ethernet,eth1-vip,0,0,0,0,0
1579822617.188168,ethernet,eth2,12,12,12,12,12
1579822617.188168,ethernet,eth3,0,0,0,0,0
1579823217.682331,ethernet,eth0,2006,2602,3347,4405,67681
1579823217.682331,ethernet,eth0-vip,0,0,0,0,0
1579823217.682331,ethernet,eth1,6949,8727,8241,19438,75655
1579823217.682331,ethernet,eth1-vip,0,0,0,0,0
1579823217.682331,ethernet,eth2,12,12,12,12,12
1579823217.682331,ethernet,eth3,0,0,0,0,0
1579823818.178802,ethernet,eth0,8586,5385,3669,4077,67681
1579823818.178802,ethernet,eth0-vip,0,0,0,0,0
1579823818.178802,ethernet,eth1,10127,11069,10026,19015,75655
1579823818.178802,ethernet,eth1-vip,0,0,0,0,0
1579823818.178802,ethernet,eth2,12,12,12,12,12
1579823818.178802,ethernet,eth3,0,0,0,0,0
1579824418.637408,ethernet,eth0,2670,4498,4304,4068,67086
1579824418.637408,ethernet,eth0-vip,0,0,0,0,0
1579824418.637408,ethernet,eth1,10164,10726,10874,18831,75552
1579824418.637408,ethernet,eth1-vip,0,0,0,0,0
1579824418.637408,ethernet,eth2,12,12,12,12,12
1579824418.637408,ethernet,eth3,0,0,0,0,0
1579825019.136839,ethernet,eth0,2269,5151,4293,4011,67086
1579825019.136839,ethernet,eth0-vip,0,0,0,0,0
1579825019.136839,ethernet,eth1,7668,8864,9127,18894,75552
1579825019.136839,ethernet,eth1-vip,0,0,0,0,0
1579825019.136839,ethernet,eth2,13,12,12,12,12
1579825019.136839,ethernet,eth3,0,0,0,0,0
1579825619.607984,ethernet,eth0,6347,4065,2973,4009,67086
1579825619.607984,ethernet,eth0-vip,0,0,0,0,0
1579825619.607984,ethernet,eth1,6305,6996,63505,18786,75552
1579825619.607984,ethernet,eth1-vip,0,0,0,0,0
1579825619.607984,ethernet,eth2,12,12,12,12,12
1579825619.607984,ethernet,eth3,0,0,0,0,0
1579826220.109854,ethernet,eth0,2665,2567,59449,3808,67086
1579826220.109854,ethernet,eth0-vip,0,0,0,0,0
1579826220.109854,ethernet,eth1,6537,7096,7523,18383,75552
1579826220.109854,ethernet,eth1-vip,0,0,0,0,0
1579826220.109854,ethernet,eth2,13,12,12,12,12
1579826220.109854,ethernet,eth3,0,0,0,0,0
1579826820.584184,ethernet,eth0,2683,2580,2985,13006,67086
1579826820.584184,ethernet,eth0-vip,0,0,0,0,0
1579826820.584184,ethernet,eth1,6289,6472,6690,18210,75552
1579826820.584184,ethernet,eth1-vip,0,0,0,0,0
1579826820.584184,ethernet,eth2,12,12,12,12,12
1579826820.584184,ethernet,eth3,0,0,0,0,0
1579827421.241264,ethernet,eth0,2224,1906,2608,12944,67086
1579827421.241264,ethernet,eth0-vip,0,0,0,0,0
1579827421.241264,ethernet,eth1,5086,6015,6192,17947,75552
1579827421.241264,ethernet,eth1-vip,0,0,0,0,0
1579827421.241264,ethernet,eth2,12,12,12,12,12
1579827421.241264,ethernet,eth3,0,0,0,0,0
1579828021.710859,ethernet,eth0,1833,1887,3310,12698,66928
1579828021.710859,ethernet,eth0-vip,0,0,0,0,0
1579828021.710859,ethernet,eth1,4687,5397,5614,17229,75600
1579828021.710859,ethernet,eth1-vip,0,0,0,0,0
1579828021.710859,ethernet,eth2,12,12,12,12,12
1579828021.710859,ethernet,eth3,0,0,0,0,0
1579828622.172326,ethernet,eth0,1727,1527,2788,12600,66928
1579828622.172326,ethernet,eth0-vip,0,0,0,0,0
1579828622.172326,ethernet,eth1,4575,4763,5482,16366,75600
1579828622.172326,ethernet,eth1-vip,0,0,0,0,0
1579828622.172326,ethernet,eth2,12,12,12,12,12
1579828622.172326,ethernet,eth3,0,0,0,0,0
1579829222.62194,ethernet,eth0,4139,3653,3211,12338,66928
1579829222.62194,ethernet,eth0-vip,0,0,0,0,0
1579829222.62194,ethernet,eth1,9528,10749,10491,15778,75600
1579829222.62194,ethernet,eth1-vip,0,0,0,0,0
1579829222.62194,ethernet,eth2,12,12,12,12,12
1579829222.62194,ethernet,eth3,0,0,0,0,0
1579829823.105334,ethernet,eth0,2747,2933,4100,12365,66928
1579829823.105334,ethernet,eth0-vip,0,0,0,0,0
1579829823.105334,ethernet,eth1,3344759,567342,67159,7062,75600
1579829823.105334,ethernet,eth1-vip,0,0,0,0,0
1579829823.105334,ethernet,eth2,12,12,12,12,12
