TIME,dpStatusHTTPTransactions2serviceClass,dpStatusHTTPTransactions2proxy,dpStatusHTTPTransactions2tenSeconds,dpStatusHTTPTransactions2oneMinute,dpStatusHTTPTransactions2tenMinutes,dpStatusHTTPTransactions2oneHour,dpStatusHTTPTransactions2oneDay
1579014552.100745,multiProtocolGateway,mbaas_uri_to_host,52,49,55,58,47
1579014552.100745,multiProtocolGateway,stats,0,0,0,0,0
1579014578.852618,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579014578.852618,multiProtocolGateway,customDomains,536,550,558,585,502
1579014578.852618,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579014578.852618,multiProtocolGateway,mbaas_uri_to_host,34,50,55,58,47
1579014578.852618,multiProtocolGateway,stats,0,0,0,0,0
1579014662.147469,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579014662.147469,multiProtocolGateway,customDomains,566,544,557,585,502
1579014662.147469,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579014662.147469,multiProtocolGateway,mbaas_uri_to_host,43,52,55,58,47
1579014662.147469,multiProtocolGateway,stats,0,0,0,0,0
1579015148.569143,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579015148.569143,multiProtocolGateway,customDomains,602,554,550,569,502
1579015148.569143,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579015148.569143,multiProtocolGateway,mbaas_uri_to_host,64,50,63,57,47
1579015148.569143,multiProtocolGateway,stats,0,0,0,0,0
1579015152.459145,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579015152.459145,multiProtocolGateway,customDomains,602,554,550,569,502
1579015152.459145,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579015152.459145,multiProtocolGateway,mbaas_uri_to_host,64,50,63,57,47
1579015152.459145,multiProtocolGateway,stats,0,0,0,0,0
1579015179.187119,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579015179.187119,multiProtocolGateway,customDomains,546,550,549,569,502
1579015179.187119,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579015179.187119,multiProtocolGateway,mbaas_uri_to_host,44,54,63,57,47
1579015179.187119,multiProtocolGateway,stats,0,0,0,0,0
1579015262.508929,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579015262.508929,multiProtocolGateway,customDomains,580,561,551,569,502
1579015262.508929,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579015262.508929,multiProtocolGateway,mbaas_uri_to_host,50,49,62,57,47
1579015262.508929,multiProtocolGateway,stats,0,0,0,0,0
1579015748.922217,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579015748.922217,multiProtocolGateway,customDomains,560,526,554,561,502
1579015748.922217,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579015748.922217,multiProtocolGateway,mbaas_uri_to_host,64,51,48,57,47
1579015748.922217,multiProtocolGateway,stats,0,0,0,0,0
1579015752.773139,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579015752.773139,multiProtocolGateway,customDomains,560,526,554,561,502
1579015752.773139,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579015752.773139,multiProtocolGateway,mbaas_uri_to_host,64,51,48,57,47
1579015752.773139,multiProtocolGateway,stats,0,0,0,0,0
1579015779.532463,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579015779.532463,multiProtocolGateway,customDomains,505,513,550,561,502
1579015779.532463,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579015779.532463,multiProtocolGateway,mbaas_uri_to_host,34,49,48,57,47
1579015779.532463,multiProtocolGateway,stats,0,0,0,0,0
1579015862.828102,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579015862.828102,multiProtocolGateway,customDomains,551,567,551,561,502
1579015862.828102,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579015862.828102,multiProtocolGateway,mbaas_uri_to_host,38,46,48,57,47
1579015862.828102,multiProtocolGateway,stats,0,0,0,0,0
1579016353.091551,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579016353.091551,multiProtocolGateway,customDomains,564,539,541,554,501
1579016353.091551,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579016353.091551,multiProtocolGateway,mbaas_uri_to_host,74,52,49,56,48
1579016353.091551,multiProtocolGateway,stats,0,0,0,0,0
1579016463.169073,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579016463.169073,multiProtocolGateway,customDomains,548,551,541,554,501
1579016463.169073,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579016463.169073,multiProtocolGateway,mbaas_uri_to_host,47,58,50,56,48
1579016463.169073,multiProtocolGateway,stats,0,0,0,0,0
1579016953.420184,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579016953.420184,multiProtocolGateway,customDomains,568,540,552,552,501
1579016953.420184,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579016953.420184,multiProtocolGateway,mbaas_uri_to_host,69,50,63,56,48
1579016953.420184,multiProtocolGateway,stats,0,0,0,0,0
1579017063.48306,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579017063.48306,multiProtocolGateway,customDomains,562,545,553,552,501
1579017063.48306,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579017063.48306,multiProtocolGateway,mbaas_uri_to_host,33,54,63,56,48
1579017063.48306,multiProtocolGateway,stats,0,0,0,0,0
1579017553.731068,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579017553.731068,multiProtocolGateway,customDomains,586,543,542,550,501
1579017553.731068,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579017553.731068,multiProtocolGateway,mbaas_uri_to_host,74,55,53,55,48
1579017553.731068,multiProtocolGateway,stats,0,0,0,0,0
1579017663.815523,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579017663.815523,multiProtocolGateway,customDomains,576,546,541,550,501
1579017663.815523,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579017663.815523,multiProtocolGateway,mbaas_uri_to_host,67,59,54,55,48
1579017663.815523,multiProtocolGateway,stats,0,0,0,0,0
1579018154.052805,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579018154.052805,multiProtocolGateway,customDomains,561,514,539,548,501
1579018154.052805,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579018154.052805,multiProtocolGateway,mbaas_uri_to_host,74,55,55,55,48
1579018154.052805,multiProtocolGateway,stats,0,0,0,0,0
1579018264.134453,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579018264.134453,multiProtocolGateway,customDomains,579,548,537,548,501
1579018264.134453,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579018264.134453,multiProtocolGateway,mbaas_uri_to_host,53,58,55,55,48
1579018264.134453,multiProtocolGateway,stats,0,0,0,0,0
1579018754.386052,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579018754.386052,multiProtocolGateway,customDomains,570,530,539,545,501
1579018754.386052,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579018754.386052,multiProtocolGateway,mbaas_uri_to_host,66,49,65,56,48
1579018754.386052,multiProtocolGateway,stats,0,0,0,0,0
1579018864.456944,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579018864.456944,multiProtocolGateway,customDomains,542,535,540,545,501
1579018864.456944,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579018864.456944,multiProtocolGateway,mbaas_uri_to_host,34,51,64,56,48
1579018864.456944,multiProtocolGateway,stats,0,0,0,0,0
1579019354.758108,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579019354.758108,multiProtocolGateway,customDomains,565,558,547,543,501
1579019354.758108,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579019354.758108,multiProtocolGateway,mbaas_uri_to_host,55,51,52,56,48
1579019354.758108,multiProtocolGateway,stats,0,0,0,0,0
1579019464.775415,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579019464.775415,multiProtocolGateway,customDomains,597,560,550,543,501
1579019464.775415,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579019464.775415,multiProtocolGateway,mbaas_uri_to_host,39,54,52,56,48
1579019464.775415,multiProtocolGateway,stats,0,0,0,0,0
1579020065.096639,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579020065.096639,multiProtocolGateway,customDomains,595,568,557,546,500
1579020065.096639,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579020065.096639,multiProtocolGateway,mbaas_uri_to_host,47,59,53,57,48
1579020065.096639,multiProtocolGateway,stats,0,0,0,0,0
1579020665.427231,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579020665.427231,multiProtocolGateway,customDomains,584,548,559,548,500
1579020665.427231,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579020665.427231,multiProtocolGateway,mbaas_uri_to_host,47,58,64,57,48
1579020665.427231,multiProtocolGateway,stats,0,0,0,0,0
1579021265.748296,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579021265.748296,multiProtocolGateway,customDomains,551,531,540,548,500
1579021265.748296,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579021265.748296,multiProtocolGateway,mbaas_uri_to_host,46,50,52,57,48
1579021265.748296,multiProtocolGateway,stats,0,0,0,0,0
1579021866.084197,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579021866.084197,multiProtocolGateway,customDomains,555,529,529,546,500
1579021866.084197,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579021866.084197,multiProtocolGateway,mbaas_uri_to_host,43,47,53,57,48
1579021866.084197,multiProtocolGateway,stats,0,0,0,0,0
1579022466.413991,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579022466.413991,multiProtocolGateway,customDomains,535,523,527,545,500
1579022466.413991,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
