TIME,dpStatusHTTPTransactions2serviceClass,dpStatusHTTPTransactions2proxy,dpStatusHTTPTransactions2tenSeconds,dpStatusHTTPTransactions2oneMinute,dpStatusHTTPTransactions2tenMinutes,dpStatusHTTPTransactions2oneHour,dpStatusHTTPTransactions2oneDay
1579817812.989396,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579817812.989396,multiProtocolGateway,mbaas_uri_to_host,54,51,51,54,47
1579817812.989396,multiProtocolGateway,stats,0,0,0,0,0
1579818413.476174,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579818413.476174,multiProtocolGateway,customDomains,215,201,202,209,462
1579818413.476174,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579818413.476174,multiProtocolGateway,mbaas_uri_to_host,47,49,52,54,47
1579818413.476174,multiProtocolGateway,stats,0,0,0,0,0
1579819013.96377,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579819013.96377,multiProtocolGateway,customDomains,176,174,181,203,461
1579819013.96377,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579819013.96377,multiProtocolGateway,mbaas_uri_to_host,35,47,65,53,47
1579819013.96377,multiProtocolGateway,stats,0,0,0,0,0
1579819614.440811,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579819614.440811,multiProtocolGateway,customDomains,173,179,172,197,461
1579819614.440811,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579819614.440811,multiProtocolGateway,mbaas_uri_to_host,39,42,39,52,47
1579819614.440811,multiProtocolGateway,stats,0,0,0,0,0
1579820214.907047,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579820214.907047,multiProtocolGateway,customDomains,177,169,185,193,461
1579820214.907047,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579820214.907047,multiProtocolGateway,mbaas_uri_to_host,36,40,40,50,47
1579820214.907047,multiProtocolGateway,stats,0,0,0,0,0
1579820815.381578,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579820815.381578,multiProtocolGateway,customDomains,168,163,174,186,461
1579820815.381578,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579820815.381578,multiProtocolGateway,mbaas_uri_to_host,30,38,42,48,47
1579820815.381578,multiProtocolGateway,stats,0,0,0,0,0
1579821415.902307,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579821415.902307,multiProtocolGateway,customDomains,161,169,165,180,461
1579821415.902307,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579821415.902307,multiProtocolGateway,mbaas_uri_to_host,40,41,40,46,47
1579821415.902307,multiProtocolGateway,stats,0,0,0,0,0
1579822016.376758,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579822016.376758,multiProtocolGateway,customDomains,179,176,170,175,461
1579822016.376758,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579822016.376758,multiProtocolGateway,mbaas_uri_to_host,32,38,37,44,47
1579822016.376758,multiProtocolGateway,stats,0,0,0,0,0
1579822616.840425,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579822616.840425,multiProtocolGateway,customDomains,137,133,153,170,459
1579822616.840425,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579822616.840425,multiProtocolGateway,mbaas_uri_to_host,32,41,61,43,47
1579822616.840425,multiProtocolGateway,stats,0,0,0,0,0
1579823217.320762,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579823217.320762,multiProtocolGateway,customDomains,122,142,145,165,459
1579823217.320762,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579823217.320762,multiProtocolGateway,mbaas_uri_to_host,40,44,40,43,47
1579823217.320762,multiProtocolGateway,stats,0,0,0,0,0
1579823817.799857,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579823817.799857,multiProtocolGateway,customDomains,160,177,167,162,459
1579823817.799857,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579823817.799857,multiProtocolGateway,mbaas_uri_to_host,43,42,40,43,47
1579823817.799857,multiProtocolGateway,stats,0,0,0,0,0
1579824418.297681,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579824418.297681,multiProtocolGateway,customDomains,153,170,172,162,459
1579824418.297681,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579824418.297681,multiProtocolGateway,mbaas_uri_to_host,36,39,41,43,47
1579824418.297681,multiProtocolGateway,stats,0,0,0,0,0
1579825018.785602,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579825018.785602,multiProtocolGateway,customDomains,130,150,157,161,459
1579825018.785602,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579825018.785602,multiProtocolGateway,mbaas_uri_to_host,36,37,38,43,47
1579825018.785602,multiProtocolGateway,stats,0,0,0,0,0
1579825619.278218,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579825619.278218,multiProtocolGateway,customDomains,112,133,143,156,459
1579825619.278218,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579825619.278218,multiProtocolGateway,mbaas_uri_to_host,29,39,38,43,47
1579825619.278218,multiProtocolGateway,stats,0,0,0,0,0
1579826219.751187,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579826219.751187,multiProtocolGateway,customDomains,115,132,139,154,460
1579826219.751187,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579826219.751187,multiProtocolGateway,mbaas_uri_to_host,34,40,63,43,47
1579826219.751187,multiProtocolGateway,stats,0,0,0,0,0
1579826820.245723,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579826820.245723,multiProtocolGateway,customDomains,112,123,131,152,460
1579826820.245723,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579826820.245723,multiProtocolGateway,mbaas_uri_to_host,32,36,37,43,47
1579826820.245723,multiProtocolGateway,stats,0,0,0,0,0
1579827420.847199,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579827420.847199,multiProtocolGateway,customDomains,104,117,121,144,460
1579827420.847199,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579827420.847199,multiProtocolGateway,mbaas_uri_to_host,31,35,39,42,47
1579827420.847199,multiProtocolGateway,stats,0,0,0,0,0
1579828021.358105,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579828021.358105,multiProtocolGateway,customDomains,91,109,117,135,460
1579828021.358105,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579828021.358105,multiProtocolGateway,mbaas_uri_to_host,35,36,39,42,47
1579828021.358105,multiProtocolGateway,stats,0,0,0,0,0
1579828621.833913,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579828621.833913,multiProtocolGateway,customDomains,106,107,114,128,460
1579828621.833913,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579828621.833913,multiProtocolGateway,mbaas_uri_to_host,32,39,39,42,47
1579828621.833913,multiProtocolGateway,stats,0,0,0,0,0
1579829222.285014,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579829222.285014,multiProtocolGateway,customDomains,145,171,169,132,460
1579829222.285014,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579829222.285014,multiProtocolGateway,mbaas_uri_to_host,34,40,41,43,47
1579829222.285014,multiProtocolGateway,stats,0,0,0,0,0
1579829822.747039,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579829822.747039,multiProtocolGateway,customDomains,158,181,182,139,460
1579829822.747039,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579829822.747039,multiProtocolGateway,mbaas_uri_to_host,35,41,64,43,47
1579829822.747039,multiProtocolGateway,stats,0,0,0,0,0
1579830423.254418,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579830423.254418,multiProtocolGateway,customDomains,166,168,181,147,460
1579830423.254418,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579830423.254418,multiProtocolGateway,mbaas_uri_to_host,39,38,38,43,47
1579830423.254418,multiProtocolGateway,stats,0,0,0,0,0
1579831023.759497,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579831023.759497,multiProtocolGateway,customDomains,164,174,175,156,460
1579831023.759497,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579831023.759497,multiProtocolGateway,mbaas_uri_to_host,42,32,36,43,47
1579831023.759497,multiProtocolGateway,stats,0,0,0,0,0
1579831624.250959,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579831624.250959,multiProtocolGateway,customDomains,145,176,172,166,460
1579831624.250959,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579831624.250959,multiProtocolGateway,mbaas_uri_to_host,37,44,41,43,47
1579831624.250959,multiProtocolGateway,stats,0,0,0,0,0
1579832224.718139,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579832224.718139,multiProtocolGateway,customDomains,107,124,147,171,460
1579832224.718139,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579832224.718139,multiProtocolGateway,mbaas_uri_to_host,43,38,41,43,47
1579832224.718139,multiProtocolGateway,stats,0,0,0,0,0
1579832825.1693,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579832825.1693,multiProtocolGateway,customDomains,120,129,129,164,460
1579832825.1693,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579832825.1693,multiProtocolGateway,mbaas_uri_to_host,33,45,43,44,47
1579832825.1693,multiProtocolGateway,stats,0,0,0,0,0
1579833425.610907,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579833425.610907,multiProtocolGateway,customDomains,97,112,106,152,460
1579833425.610907,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579833425.610907,multiProtocolGateway,mbaas_uri_to_host,35,42,65,44,47
1579833425.610907,multiProtocolGateway,stats,0,0,0,0,0
1579834026.126424,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579834026.126424,multiProtocolGateway,customDomains,95,108,110,140,460
1579834026.126424,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579834026.126424,multiProtocolGateway,mbaas_uri_to_host,37,40,43,45,47
1579834026.126424,multiProtocolGateway,stats,0,0,0,0,0
1579834626.639784,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579834626.639784,multiProtocolGateway,customDomains,99,108,109,129,460
1579834626.639784,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579834626.639784,multiProtocolGateway,mbaas_uri_to_host,37,47,43,46,47
1579834626.639784,multiProtocolGateway,stats,0,0,0,0,0
1579835227.123474,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579835227.123474,multiProtocolGateway,customDomains,153,113,110,118,460
1579835227.123474,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579835227.123474,multiProtocolGateway,mbaas_uri_to_host,36,48,47,47,47
1579835227.123474,multiProtocolGateway,stats,0,0,0,0,0
1579835827.59749,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579835827.59749,multiProtocolGateway,customDomains,159,117,113,113,460
1579835827.59749,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579835827.59749,multiProtocolGateway,mbaas_uri_to_host,48,49,49,48,47
1579835827.59749,multiProtocolGateway,stats,0,0,0,0,0
1579836428.075114,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579836428.075114,multiProtocolGateway,customDomains,140,95,99,108,460
1579836428.075114,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579836428.075114,multiProtocolGateway,mbaas_uri_to_host,44,45,47,49,47
1579836428.075114,multiProtocolGateway,stats,0,0,0,0,0
1579837028.546913,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579837028.546913,multiProtocolGateway,customDomains,135,93,91,105,460
1579837028.546913,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579837028.546913,multiProtocolGateway,mbaas_uri_to_host,46,39,66,49,47
1579837028.546913,multiProtocolGateway,stats,0,0,0,0,0
1579837629.026472,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579837629.026472,multiProtocolGateway,customDomains,146,97,92,102,460
1579837629.026472,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579837629.026472,multiProtocolGateway,mbaas_uri_to_host,35,42,45,49,47
1579837629.026472,multiProtocolGateway,stats,0,0,0,0,0
1579838229.509921,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579838229.509921,multiProtocolGateway,customDomains,153,103,97,100,460
1579838229.509921,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579838229.509921,multiProtocolGateway,mbaas_uri_to_host,37,41,42,49,47
1579838229.509921,multiProtocolGateway,stats,0,0,0,0,0
1579838830.032105,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579838830.032105,multiProtocolGateway,customDomains,147,109,105,99,460
1579838830.032105,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579838830.032105,multiProtocolGateway,mbaas_uri_to_host,41,40,43,49,47
1579838830.032105,multiProtocolGateway,stats,0,0,0,0,0
1579839430.541153,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579839430.541153,multiProtocolGateway,customDomains,152,116,110,99,460
1579839430.541153,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579839430.541153,multiProtocolGateway,mbaas_uri_to_host,43,41,42,48,47
1579839430.541153,multiProtocolGateway,stats,0,0,0,0,0
1579840031.015405,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579840031.015405,multiProtocolGateway,customDomains,162,115,108,101,460
1579840031.015405,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579840031.015405,multiProtocolGateway,mbaas_uri_to_host,38,40,41,47,47
1579840031.015405,multiProtocolGateway,stats,0,0,0,0,0
1579840631.518836,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579840631.518836,multiProtocolGateway,customDomains,165,117,116,105,460
1579840631.518836,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579840631.518836,multiProtocolGateway,mbaas_uri_to_host,34,40,64,46,47
1579840631.518836,multiProtocolGateway,stats,0,0,0,0,0
1579841231.993354,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579841231.993354,multiProtocolGateway,customDomains,168,117,115,108,460
1579841231.993354,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579841231.993354,multiProtocolGateway,mbaas_uri_to_host,37,37,39,45,47
1579841231.993354,multiProtocolGateway,stats,0,0,0,0,0
1579841832.452144,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579841832.452144,multiProtocolGateway,customDomains,173,126,122,113,460
1579841832.452144,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579841832.452144,multiProtocolGateway,mbaas_uri_to_host,59,42,40,45,47
1579841832.452144,multiProtocolGateway,stats,0,0,0,0,0
1579842432.950962,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579842432.950962,multiProtocolGateway,customDomains,176,147,141,119,460
1579842432.950962,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579842432.950962,multiProtocolGateway,mbaas_uri_to_host,44,51,46,45,47
1579842432.950962,multiProtocolGateway,stats,0,0,0,0,0
1579843033.420233,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579843033.420233,multiProtocolGateway,customDomains,192,159,155,126,460
1579843033.420233,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579843033.420233,multiProtocolGateway,mbaas_uri_to_host,32,43,45,46,47
1579843033.420233,multiProtocolGateway,stats,0,0,0,0,0
1579843633.890015,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579843633.890015,multiProtocolGateway,customDomains,206,161,156,134,460
1579843633.890015,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579843633.890015,multiProtocolGateway,mbaas_uri_to_host,59,44,45,47,47
1579843633.890015,multiProtocolGateway,stats,0,0,0,0,0
1579844234.381998,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579844234.381998,multiProtocolGateway,customDomains,223,175,165,142,460
1579844234.381998,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579844234.381998,multiProtocolGateway,mbaas_uri_to_host,41,36,65,47,47
1579844234.381998,multiProtocolGateway,stats,0,0,0,0,0
1579844834.856866,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579844834.856866,multiProtocolGateway,customDomains,245,184,182,153,460
1579844834.856866,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579844834.856866,multiProtocolGateway,mbaas_uri_to_host,38,46,44,48,47
1579844834.856866,multiProtocolGateway,stats,0,0,0,0,0
1579845435.34531,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579845435.34531,multiProtocolGateway,customDomains,260,211,198,166,460
1579845435.34531,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579845435.34531,multiProtocolGateway,mbaas_uri_to_host,41,38,43,48,47
1579845435.34531,multiProtocolGateway,stats,0,0,0,0,0
