TIME,dpStatusNetworkReceiveDataThroughputInterfaceType,dpStatusNetworkReceiveDataThroughputInterfaceName,dpStatusNetworkReceiveDataThroughputTenSecondsBits,dpStatusNetworkReceiveDataThroughputOneMinuteBits,dpStatusNetworkReceiveDataThroughputTenMinutesBits,dpStatusNetworkReceiveDataThroughputOneHourBits,dpStatusNetworkReceiveDataThroughputOneDayBits
1580200456.931836,ethernet,eth0,30635,33883,34560,68803,35408
1580200456.931836,ethernet,eth0-vip,0,0,0,0,0
1580200456.931836,ethernet,eth1,85848,88123,142377,159276,82467
1580200456.931836,ethernet,eth1-vip,0,0,0,0,0
1580200456.931836,ethernet,eth2,12,12,12,12,12
1580200456.931836,ethernet,eth3,0,0,0,0,0
1580201057.471823,ethernet,eth0,34510,34521,88238,69784,35408
1580201057.471823,ethernet,eth0-vip,0,0,0,0,0
1580201057.471823,ethernet,eth1,95465,90421,194254,162196,82467
1580201057.471823,ethernet,eth1-vip,0,0,0,0,0
1580201057.471823,ethernet,eth2,13,12,12,12,12
1580201057.471823,ethernet,eth3,0,0,0,0,0
1580201658.026835,ethernet,eth0,32340,579449,89240,70553,35408
1580201658.026835,ethernet,eth0-vip,0,0,0,0,0
1580201658.026835,ethernet,eth1,92424,88794,195744,164775,82467
1580201658.026835,ethernet,eth1-vip,0,0,0,0,0
1580201658.026835,ethernet,eth2,13,12,12,12,12
1580201658.026835,ethernet,eth3,0,0,0,0,0
1580202258.61068,ethernet,eth0,29148,28289,30005,71283,35408
1580202258.61068,ethernet,eth0-vip,0,0,0,0,0
1580202258.61068,ethernet,eth1,87722,84072,139440,167046,82467
1580202258.61068,ethernet,eth1-vip,0,0,0,0,0
1580202258.61068,ethernet,eth2,13,12,12,12,12
1580202258.61068,ethernet,eth3,0,0,0,0,0
1580202859.143603,ethernet,eth0,38217,36382,84538,60526,34680
1580202859.143603,ethernet,eth0-vip,0,0,0,0,0
1580202859.143603,ethernet,eth1,87423,90736,193006,175710,82252
1580202859.143603,ethernet,eth1-vip,0,0,0,0,0
1580202859.143603,ethernet,eth2,12,12,12,12,12
1580202859.143603,ethernet,eth3,0,0,0,0,0
1580203459.65094,ethernet,eth0,26689,29413,31601,69110,34680
1580203459.65094,ethernet,eth0-vip,0,0,0,0,0
1580203459.65094,ethernet,eth1,82723,80829,138548,167482,82252
1580203459.65094,ethernet,eth1-vip,0,0,0,0,0
1580203459.65094,ethernet,eth2,12,12,12,12,12
1580203459.65094,ethernet,eth3,0,0,0,0,0
1580204060.292606,ethernet,eth0,36799,34761,89756,59418,34680
1580204060.292606,ethernet,eth0-vip,0,0,0,0,0
1580204060.292606,ethernet,eth1,83824,80335,192750,166757,82252
1580204060.292606,ethernet,eth1-vip,0,0,0,0,0
1580204060.292606,ethernet,eth2,13,13,12,12,12
1580204060.292606,ethernet,eth3,0,0,0,0,0
1580204660.862165,ethernet,eth0,41076,39026,38284,60064,34680
1580204660.862165,ethernet,eth0-vip,0,0,0,0,0
1580204660.862165,ethernet,eth1,91373,90450,143300,166946,82252
1580204660.862165,ethernet,eth1-vip,0,0,0,0,0
1580204660.862165,ethernet,eth2,12,12,12,12,12
1580204660.862165,ethernet,eth3,0,0,0,0,0
1580205261.356097,ethernet,eth0,45240,36211,92443,69859,34680
1580205261.356097,ethernet,eth0-vip,0,0,0,0,0
1580205261.356097,ethernet,eth1,95785,91899,196539,167001,82252
1580205261.356097,ethernet,eth1-vip,0,0,0,0,0
1580205261.356097,ethernet,eth2,13,12,12,12,12
1580205261.356097,ethernet,eth3,0,0,0,0,0
1580205861.989849,ethernet,eth0,34712,34361,92013,61510,34680
1580205861.989849,ethernet,eth0-vip,0,0,0,0,0
1580205861.989849,ethernet,eth1,92621,90539,195955,176340,82252
1580205861.989849,ethernet,eth1-vip,0,0,0,0,0
1580205861.989849,ethernet,eth2,13,12,12,12,12
1580205861.989849,ethernet,eth3,0,0,0,0,0
1580206462.391386,ethernet,eth0,28258,32425,35451,72135,34665
1580206462.391386,ethernet,eth0-vip,0,0,0,0,0
1580206462.391386,ethernet,eth1,83320,89001,145022,168503,81699
1580206462.391386,ethernet,eth1-vip,0,0,0,0,0
1580206462.391386,ethernet,eth2,12,12,12,12,12
1580206462.391386,ethernet,eth3,0,0,0,0,0
1580207062.891806,ethernet,eth0,34997,36281,89903,72546,34665
1580207062.891806,ethernet,eth0-vip,0,0,0,0,0
1580207062.891806,ethernet,eth1,94236,94647,196848,177656,81699
1580207062.891806,ethernet,eth1-vip,0,0,0,0,0
1580207062.891806,ethernet,eth2,12,12,12,12,12
1580207062.891806,ethernet,eth3,0,0,0,0,0
1580207663.409539,ethernet,eth0,37389,36041,89510,73209,34665
1580207663.409539,ethernet,eth0-vip,0,0,0,0,0
1580207663.409539,ethernet,eth1,95355,620624,197056,178896,81699
1580207663.409539,ethernet,eth1-vip,0,0,0,0,0
1580207663.409539,ethernet,eth2,13,13,12,12,12
1580207663.409539,ethernet,eth3,0,0,0,0,0
1580208263.90411,ethernet,eth0,31674,33267,34817,72697,34665
1580208263.90411,ethernet,eth0-vip,0,0,0,0,0
1580208263.90411,ethernet,eth1,89509,89307,142829,179166,81699
1580208263.90411,ethernet,eth1-vip,0,0,0,0,0
1580208263.90411,ethernet,eth2,12,12,12,12,12
1580208263.90411,ethernet,eth3,0,0,0,0,0
1580208864.458217,ethernet,eth0,36482,34720,89663,72112,34665
1580208864.458217,ethernet,eth0-vip,0,0,0,0,0
1580208864.458217,ethernet,eth1,91160,93597,196750,179016,81699
1580208864.458217,ethernet,eth1-vip,0,0,0,0,0
1580208864.458217,ethernet,eth2,12,12,12,12,12
1580208864.458217,ethernet,eth3,0,0,0,0,0
1580209464.948274,ethernet,eth0,37665,36562,92622,71748,34665
1580209464.948274,ethernet,eth0-vip,0,0,0,0,0
1580209464.948274,ethernet,eth1,99474,91555,142514,170055,81699
1580209464.948274,ethernet,eth1-vip,0,0,0,0,0
1580209464.948274,ethernet,eth2,12,12,12,12,12
1580209464.948274,ethernet,eth3,0,0,0,0,0
1580210065.491579,ethernet,eth0,34900,41263,39956,72232,34590
