TIME,dpStatusNetworkTransmitDataThroughputInterfaceType,dpStatusNetworkTransmitDataThroughputInterfaceName,dpStatusNetworkTransmitDataThroughputTenSecondsBits,dpStatusNetworkTransmitDataThroughputOneMinuteBits,dpStatusNetworkTransmitDataThroughputTenMinutesBits,dpStatusNetworkTransmitDataThroughputOneHourBits,dpStatusNetworkTransmitDataThroughputOneDayBits
1579846036.009077,ethernet,eth0-vip,0,0,0,0,0
1579846036.009077,ethernet,eth1,23553,19227,20564,33882,99644
1579846036.009077,ethernet,eth1-vip,0,0,0,0,0
1579846036.009077,ethernet,eth2,0,0,0,0,0
1579846036.009077,ethernet,eth3,0,0,0,0,0
1579846636.527953,ethernet,eth0,15032,14269,13814,18427,63662
1579846636.527953,ethernet,eth0-vip,0,0,0,0,0
1579846636.527953,ethernet,eth1,23099,22914,78077,35079,99644
1579846636.527953,ethernet,eth1-vip,0,0,0,0,0
1579846636.527953,ethernet,eth2,0,0,0,0,0
1579846636.527953,ethernet,eth3,0,0,0,0,0
1579847236.972524,ethernet,eth0,15550,17479,15897,19633,63662
1579847236.972524,ethernet,eth0-vip,0,0,0,0,0
1579847236.972524,ethernet,eth1,27780,25952,25357,36523,99644
1579847236.972524,ethernet,eth1-vip,0,0,0,0,0
1579847236.972524,ethernet,eth2,0,0,0,0,0
1579847236.972524,ethernet,eth3,0,0,0,0,0
1579847837.465807,ethernet,eth0,21417,572913,73411,21051,63662
1579847837.465807,ethernet,eth0-vip,0,0,0,0,0
1579847837.465807,ethernet,eth1,37868,584926,83670,38368,99644
1579847837.465807,ethernet,eth1-vip,0,0,0,0,0
1579847837.465807,ethernet,eth2,0,0,0,0,0
1579847837.465807,ethernet,eth3,0,0,0,0,0
1579848437.975557,ethernet,eth0,23160,23618,20845,31922,63662
1579848437.975557,ethernet,eth0-vip,0,0,0,0,0
1579848437.975557,ethernet,eth1,44572,49827,39133,49995,99644
1579848437.975557,ethernet,eth1-vip,0,0,0,0,0
1579848437.975557,ethernet,eth2,0,0,0,0,0
1579848437.975557,ethernet,eth3,0,0,0,0,0
1579849038.482978,ethernet,eth0,35470,36005,28297,33906,63662
1579849038.482978,ethernet,eth0-vip,0,0,0,0,0
1579849038.482978,ethernet,eth1,3255796,623257,122081,44616,99644
1579849038.482978,ethernet,eth1-vip,0,0,0,0,0
1579849038.482978,ethernet,eth2,0,0,0,0,0
1579849038.482978,ethernet,eth3,0,0,0,0,0
1579849639.116439,ethernet,eth0,61182,58516,102097,37084,63762
1579849639.116439,ethernet,eth0-vip,0,0,0,0,0
1579849639.116439,ethernet,eth1,207438,187677,302216,71678,100335
1579849639.116439,ethernet,eth1-vip,0,0,0,0,0
1579849639.116439,ethernet,eth2,0,0,0,0,0
1579849639.116439,ethernet,eth3,0,0,0,0,0
1579850239.577778,ethernet,eth0,69998,67074,119093,43198,63762
1579850239.577778,ethernet,eth0-vip,0,0,0,0,0
1579850239.577778,ethernet,eth1,200785,214040,409969,111319,100335
1579850239.577778,ethernet,eth1-vip,0,0,0,0,0
1579850239.577778,ethernet,eth2,0,0,0,0,0
1579850239.577778,ethernet,eth3,0,0,0,0,0
1579850840.187163,ethernet,eth0,70583,73358,179043,69782,63762
1579850840.187163,ethernet,eth0-vip,0,0,0,0,0
1579850840.187163,ethernet,eth1,200458,209419,407418,166929,100335
1579850840.187163,ethernet,eth1-vip,0,0,0,0,0
1579850840.187163,ethernet,eth2,0,0,0,0,0
1579850840.187163,ethernet,eth3,0,0,0,0,0
1579851440.70619,ethernet,eth0,70597,70633,126022,88070,63762
1579851440.70619,ethernet,eth0-vip,0,0,0,0,0
1579851440.70619,ethernet,eth1,183052,182745,332988,230344,100335
1579851440.70619,ethernet,eth1-vip,0,0,0,0,0
1579851440.70619,ethernet,eth2,0,0,0,0,0
1579851440.70619,ethernet,eth3,0,0,0,0,0
1579852041.190259,ethernet,eth0,76520,73035,124534,96794,63762
1579852041.190259,ethernet,eth0-vip,0,0,0,0,0
1579852041.190259,ethernet,eth1,153136,165258,312786,271425,100335
1579852041.190259,ethernet,eth1-vip,0,0,0,0,0
1579852041.190259,ethernet,eth2,0,0,0,0,0
1579852041.190259,ethernet,eth3,0,0,0,0,0
