TIME,dpStatusNetworkTransmitDataThroughputInterfaceType,dpStatusNetworkTransmitDataThroughputInterfaceName,dpStatusNetworkTransmitDataThroughputTenSecondsBits,dpStatusNetworkTransmitDataThroughputOneMinuteBits,dpStatusNetworkTransmitDataThroughputTenMinutesBits,dpStatusNetworkTransmitDataThroughputOneHourBits,dpStatusNetworkTransmitDataThroughputOneDayBits
1579817813.189564,ethernet,eth1-vip,0,0,0,0,0
1579817813.189564,ethernet,eth2,0,0,0,0,0
1579817813.189564,ethernet,eth3,0,0,0,0,0
1579818413.676006,ethernet,eth0,11978,10729,10710,20670,64097
1579818413.676006,ethernet,eth0-vip,0,0,0,0,0
1579818413.676006,ethernet,eth1,17880,16267,12422,37418,100368
1579818413.676006,ethernet,eth1-vip,0,0,0,0,0
1579818413.676006,ethernet,eth2,0,0,0,0,0
1579818413.676006,ethernet,eth3,0,0,0,0,0
1579819014.160225,ethernet,eth0,8762,9492,9674,20448,64097
1579819014.160225,ethernet,eth0-vip,0,0,0,0,0
1579819014.160225,ethernet,eth1,15870,14559,70001,35747,100368
1579819014.160225,ethernet,eth1-vip,0,0,0,0,0
1579819014.160225,ethernet,eth2,0,0,0,0,0
1579819014.160225,ethernet,eth3,0,0,0,0,0
1579819614.6257,ethernet,eth0,7838,8606,64415,29332,64097
1579819614.6257,ethernet,eth0-vip,0,0,0,0,0
1579819614.6257,ethernet,eth1,9630,10725,11997,34913,100368
1579819614.6257,ethernet,eth1-vip,0,0,0,0,0
1579819614.6257,ethernet,eth2,0,0,0,0,0
1579819614.6257,ethernet,eth3,0,0,0,0,0
1579820215.093111,ethernet,eth0,8581,8717,9435,19603,64097
1579820215.093111,ethernet,eth0-vip,0,0,0,0,0
1579820215.093111,ethernet,eth1,10403,9745,11192,33676,100368
1579820215.093111,ethernet,eth1-vip,0,0,0,0,0
1579820215.093111,ethernet,eth2,0,0,0,0,0
1579820215.093111,ethernet,eth3,0,0,0,0,0
1579820815.579346,ethernet,eth0,7806,7885,8357,19296,64043
1579820815.579346,ethernet,eth0-vip,0,0,0,0,0
1579820815.579346,ethernet,eth1,8362,9629,10677,23702,99374
1579820815.579346,ethernet,eth1-vip,0,0,0,0,0
1579820815.579346,ethernet,eth2,0,0,0,0,0
1579820815.579346,ethernet,eth3,0,0,0,0,0
1579821416.106837,ethernet,eth0,7579,7768,7823,18836,64043
1579821416.106837,ethernet,eth0-vip,0,0,0,0,0
1579821416.106837,ethernet,eth1,11468,11991,66148,22429,99374
1579821416.106837,ethernet,eth1-vip,0,0,0,0,0
1579821416.106837,ethernet,eth2,0,0,0,0,0
