TIME,dpStatusNetworkTransmitDataThroughputInterfaceType,dpStatusNetworkTransmitDataThroughputInterfaceName,dpStatusNetworkTransmitDataThroughputTenSecondsBits,dpStatusNetworkTransmitDataThroughputOneMinuteBits,dpStatusNetworkTransmitDataThroughputTenMinutesBits,dpStatusNetworkTransmitDataThroughputOneHourBits,dpStatusNetworkTransmitDataThroughputOneDayBits
1580208864.31094,ethernet,eth1-vip,0,0,0,0,0
1580208864.31094,ethernet,eth2,0,0,0,0,0
1580208864.31094,ethernet,eth3,0,0,0,0,0
1580209464.78807,ethernet,eth0,83776,76884,182647,147564,68692
1580209464.78807,ethernet,eth0-vip,0,0,0,0,0
1580209464.78807,ethernet,eth1,78891,76003,129175,145300,72222
1580209464.78807,ethernet,eth1-vip,0,0,0,0,0
1580209464.78807,ethernet,eth2,0,0,0,0,0
1580209464.78807,ethernet,eth3,0,0,0,0,0
1580210065.347256,ethernet,eth0,81921,81794,131575,147706,68224
1580210065.347256,ethernet,eth0-vip,0,0,0,0,0
1580210065.347256,ethernet,eth1,77289,80013,131382,145669,71734
1580210065.347256,ethernet,eth1-vip,0,0,0,0,0
1580210065.347256,ethernet,eth2,0,0,0,0,0
1580210065.347256,ethernet,eth3,0,0,0,0,0
1580210665.874327,ethernet,eth0,78668,611714,180346,147477,68224
1580210665.874327,ethernet,eth0-vip,0,0,0,0,0
1580210665.874327,ethernet,eth1,86164,71187,177876,145599,71734
1580210665.874327,ethernet,eth1-vip,0,0,0,0,0
1580210665.874327,ethernet,eth2,0,0,0,0,0
1580210665.874327,ethernet,eth3,0,0,0,0,0
1580211266.38231,ethernet,eth0,65365,74278,126710,147113,68224
1580211266.38231,ethernet,eth0-vip,0,0,0,0,0
1580211266.38231,ethernet,eth1,74509,77212,125408,145232,71734
1580211266.38231,ethernet,eth1-vip,0,0,0,0,0
1580211266.38231,ethernet,eth2,0,0,0,0,0
1580211266.38231,ethernet,eth3,0,0,0,0,0
1580211866.843039,ethernet,eth0,75869,76837,127576,146642,68224
1580211866.843039,ethernet,eth0-vip,0,0,0,0,0
1580211866.843039,ethernet,eth1,79448,75353,127561,145478,71734
1580211866.843039,ethernet,eth1-vip,0,0,0,0,0
1580211866.843039,ethernet,eth2,0,0,0,0,0
1580211866.843039,ethernet,eth3,0,0,0,0,0
1580212467.394368,ethernet,eth0,92091,612349,182421,146526,68224
1580212467.394368,ethernet,eth0-vip,0,0,0,0,0
1580212467.394368,ethernet,eth1,72879,609600,181231,145579,71734
1580212467.394368,ethernet,eth1-vip,0,0,0,0,0
1580212467.394368,ethernet,eth2,0,0,0,0,0
1580212467.394368,ethernet,eth3,0,0,0,0,0
1580213067.911341,ethernet,eth0,73400,74787,126803,146218,68224
1580213067.911341,ethernet,eth0-vip,0,0,0,0,0
