TIME,dpStatusHTTPTransactions2serviceClass,dpStatusHTTPTransactions2proxy,dpStatusHTTPTransactions2tenSeconds,dpStatusHTTPTransactions2oneMinute,dpStatusHTTPTransactions2tenMinutes,dpStatusHTTPTransactions2oneHour,dpStatusHTTPTransactions2oneDay
1580200037.708596,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1580200037.708596,multiProtocolGateway,customDomains,1113,1088,1076,1039,516
1580200037.708596,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580200037.708596,multiProtocolGateway,mbaas_uri_to_host,46,47,44,48,48
1580200037.708596,multiProtocolGateway,stats,0,0,0,0,0
1580200638.926439,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1580200638.926439,multiProtocolGateway,customDomains,1121,1096,1071,1046,518
1580200638.926439,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580200638.926439,multiProtocolGateway,mbaas_uri_to_host,46,45,70,49,48
1580200638.926439,multiProtocolGateway,stats,0,0,0,0,0
1580201239.451267,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1580201239.451267,multiProtocolGateway,customDomains,1135,1049,1066,1056,518
1580201239.451267,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580201239.451267,multiProtocolGateway,mbaas_uri_to_host,50,45,45,49,48
1580201239.451267,multiProtocolGateway,stats,0,0,0,0,0
1580201839.993376,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1580201839.993376,multiProtocolGateway,customDomains,1170,1074,1100,1066,518
1580201839.993376,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580201839.993376,multiProtocolGateway,mbaas_uri_to_host,45,44,46,49,48
1580201839.993376,multiProtocolGateway,stats,0,0,0,0,0
1580202440.460195,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1580202440.460195,multiProtocolGateway,customDomains,1162,1140,1133,1085,518
1580202440.460195,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580202440.460195,multiProtocolGateway,mbaas_uri_to_host,39,45,45,49,48
1580202440.460195,multiProtocolGateway,stats,0,0,0,0,0
1580203041.114559,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1580203041.114559,multiProtocolGateway,customDomains,1057,1109,1106,1092,518
1580203041.114559,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580203041.114559,multiProtocolGateway,mbaas_uri_to_host,43,42,45,49,48
1580203041.114559,multiProtocolGateway,stats,0,0,0,0,0
1580203641.599537,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1580203641.599537,multiProtocolGateway,customDomains,1094,1062,1180,1109,518
1580203641.599537,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580203641.599537,multiProtocolGateway,mbaas_uri_to_host,61,55,48,50,48
1580203641.599537,multiProtocolGateway,stats,0,0,0,0,0
1580204242.139819,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1580204242.139819,multiProtocolGateway,customDomains,1003,1060,1046,1105,521
1580204242.139819,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580204242.139819,multiProtocolGateway,mbaas_uri_to_host,52,48,71,50,48
1580204242.139819,multiProtocolGateway,stats,0,0,0,0,0
1580204842.657658,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1580204842.657658,multiProtocolGateway,customDomains,1126,1113,1082,1108,521
1580204842.657658,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580204842.657658,multiProtocolGateway,mbaas_uri_to_host,49,53,46,50,48
1580204842.657658,multiProtocolGateway,stats,0,0,0,0,0
1580205443.278841,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1580205443.278841,multiProtocolGateway,customDomains,1059,1084,1075,1104,521
1580205443.278841,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580205443.278841,multiProtocolGateway,mbaas_uri_to_host,41,41,52,51,48
1580205443.278841,multiProtocolGateway,stats,0,0,0,0,0
1580206043.957131,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1580206043.957131,multiProtocolGateway,customDomains,1071,1059,1076,1094,521
1580206043.957131,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580206043.957131,multiProtocolGateway,mbaas_uri_to_host,50,50,49,52,48
1580206043.957131,multiProtocolGateway,stats,0,0,0,0,0
1580206644.567314,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1580206644.567314,multiProtocolGateway,customDomains,1015,1050,1046,1084,521
1580206644.567314,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580206644.567314,multiProtocolGateway,mbaas_uri_to_host,46,50,49,52,48
1580206644.567314,multiProtocolGateway,stats,0,0,0,0,0
1580207245.100858,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1580207245.100858,multiProtocolGateway,customDomains,1025,1017,1024,1058,521
1580207245.100858,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580207245.100858,multiProtocolGateway,mbaas_uri_to_host,61,54,47,52,48
1580207245.100858,multiProtocolGateway,stats,0,0,0,0,0
1580207845.663022,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1580207845.663022,multiProtocolGateway,customDomains,1007,1048,1039,1057,521
1580207845.663022,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580207845.663022,multiProtocolGateway,mbaas_uri_to_host,46,49,71,52,48
1580207845.663022,multiProtocolGateway,stats,0,0,0,0,0
1580208446.237225,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1580208446.237225,multiProtocolGateway,customDomains,1030,1059,1034,1049,521
1580208446.237225,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580208446.237225,multiProtocolGateway,mbaas_uri_to_host,48,40,46,52,48
1580208446.237225,multiProtocolGateway,stats,0,0,0,0,0
1580209046.804699,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1580209046.804699,multiProtocolGateway,customDomains,1115,1073,1035,1042,521
1580209046.804699,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580209046.804699,multiProtocolGateway,mbaas_uri_to_host,38,38,45,51,48
1580209046.804699,multiProtocolGateway,stats,0,0,0,0,0
1580209647.367139,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1580209647.367139,multiProtocolGateway,customDomains,1104,1060,1040,1036,521
1580209647.367139,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580209647.367139,multiProtocolGateway,mbaas_uri_to_host,59,47,47,51,48
1580209647.367139,multiProtocolGateway,stats,0,0,0,0,0
1580210248.014647,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1580210248.014647,multiProtocolGateway,customDomains,1102,1083,1071,1040,521
1580210248.014647,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580210248.014647,multiProtocolGateway,mbaas_uri_to_host,40,51,49,51,48
1580210248.014647,multiProtocolGateway,stats,0,0,0,0,0
1580210848.632682,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1580210848.632682,multiProtocolGateway,customDomains,1084,1097,1084,1050,521
1580210848.632682,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580210848.632682,multiProtocolGateway,mbaas_uri_to_host,69,45,46,51,48
1580210848.632682,multiProtocolGateway,stats,0,0,0,0,0
1580211449.172672,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1580211449.172672,multiProtocolGateway,customDomains,1057,1067,1052,1053,522
1580211449.172672,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580211449.172672,multiProtocolGateway,mbaas_uri_to_host,71,45,70,51,48
1580211449.172672,multiProtocolGateway,stats,0,0,0,0,0
1580212049.748904,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
