TIME,dpStatusNetworkTransmitDataThroughputInterfaceType,dpStatusNetworkTransmitDataThroughputInterfaceName,dpStatusNetworkTransmitDataThroughputTenSecondsBits,dpStatusNetworkTransmitDataThroughputOneMinuteBits,dpStatusNetworkTransmitDataThroughputTenMinutesBits,dpStatusNetworkTransmitDataThroughputOneHourBits,dpStatusNetworkTransmitDataThroughputOneDayBits
1579014062.019133,ethernet,eth1-vip,0,0,0,0,0
1579014062.019133,ethernet,eth2,0,0,0,0,0
1579014062.019133,ethernet,eth3,0,0,0,0,0
1579014548.446057,ethernet,eth0,39145,39769,94071,87699,68578
1579014548.446057,ethernet,eth0-vip,0,0,0,0,0
1579014548.446057,ethernet,eth1,49773,54452,106455,124057,91690
1579014548.446057,ethernet,eth1-vip,0,0,0,0,0
1579014548.446057,ethernet,eth2,0,0,0,0,0
1579014548.446057,ethernet,eth3,0,0,0,0,0
1579014552.341094,ethernet,eth0,39145,39769,94071,87699,68578
1579014552.341094,ethernet,eth0-vip,0,0,0,0,0
1579014552.341094,ethernet,eth1,49773,54452,106455,124057,91690
1579014552.341094,ethernet,eth1-vip,0,0,0,0,0
1579014552.341094,ethernet,eth2,0,0,0,0,0
1579014552.341094,ethernet,eth3,0,0,0,0,0
1579014579.056742,ethernet,eth0,40839,39796,94071,87699,68578
1579014579.056742,ethernet,eth0-vip,0,0,0,0,0
1579014579.056742,ethernet,eth1,48532,49757,106455,124057,91690
1579014579.056742,ethernet,eth1-vip,0,0,0,0,0
1579014579.056742,ethernet,eth2,0,0,0,0,0
1579014579.056742,ethernet,eth3,0,0,0,0,0
1579014662.394794,ethernet,eth0,38890,39261,94213,87699,68578
1579014662.394794,ethernet,eth0-vip,0,0,0,0,0
1579014662.394794,ethernet,eth1,48469,48730,106224,124057,91690
1579014662.394794,ethernet,eth1-vip,0,0,0,0,0
1579014662.394794,ethernet,eth2,0,0,0,0,0
1579014662.394794,ethernet,eth3,0,0,0,0,0
1579015148.800218,ethernet,eth0,38712,38632,38583,77164,68578
1579015148.800218,ethernet,eth0-vip,0,0,0,0,0
1579015148.800218,ethernet,eth1,47442,45143,100707,121506,91690
1579015148.800218,ethernet,eth1-vip,0,0,0,0,0
1579015148.800218,ethernet,eth2,0,0,0,0,0
1579015148.800218,ethernet,eth3,0,0,0,0,0
1579015152.650117,ethernet,eth0,38712,38632,38583,77164,68578
1579015152.650117,ethernet,eth0-vip,0,0,0,0,0
1579015152.650117,ethernet,eth1,47442,45143,100707,121506,91690
1579015152.650117,ethernet,eth1-vip,0,0,0,0,0
1579015152.650117,ethernet,eth2,0,0,0,0,0
1579015152.650117,ethernet,eth3,0,0,0,0,0
1579015179.408621,ethernet,eth0,38877,38325,38583,77164,68578
1579015179.408621,ethernet,eth0-vip,0,0,0,0,0
1579015179.408621,ethernet,eth1,43299,44736,100707,121506,91690
1579015179.408621,ethernet,eth1-vip,0,0,0,0,0
1579015179.408621,ethernet,eth2,0,0,0,0,0
1579015179.408621,ethernet,eth3,0,0,0,0,0
1579015262.703694,ethernet,eth0,38437,587597,38386,77164,68578
1579015262.703694,ethernet,eth0-vip,0,0,0,0,0
1579015262.703694,ethernet,eth1,45348,45772,100120,121506,91690
1579015262.703694,ethernet,eth1-vip,0,0,0,0,0
1579015262.703694,ethernet,eth2,0,0,0,0,0
1579015262.703694,ethernet,eth3,0,0,0,0,0
1579015749.122871,ethernet,eth0,35297,35565,93023,76324,68578
1579015749.122871,ethernet,eth0-vip,0,0,0,0,0
1579015749.122871,ethernet,eth1,52310,46809,100077,110287,91690
1579015749.122871,ethernet,eth1-vip,0,0,0,0,0
1579015749.122871,ethernet,eth2,0,0,0,0,0
1579015749.122871,ethernet,eth3,0,0,0,0,0
1579015752.97108,ethernet,eth0,35297,35565,93023,76324,68578
1579015752.97108,ethernet,eth0-vip,0,0,0,0,0
1579015752.97108,ethernet,eth1,52310,46809,100077,110287,91690
1579015752.97108,ethernet,eth1-vip,0,0,0,0,0
1579015752.97108,ethernet,eth2,0,0,0,0,0
1579015752.97108,ethernet,eth3,0,0,0,0,0
1579015779.719343,ethernet,eth0,34091,34041,93023,76324,68578
1579015779.719343,ethernet,eth0-vip,0,0,0,0,0
1579015779.719343,ethernet,eth1,39806,44769,100077,110287,91690
1579015779.719343,ethernet,eth1-vip,0,0,0,0,0
1579015779.719343,ethernet,eth2,0,0,0,0,0
1579015779.719343,ethernet,eth3,0,0,0,0,0
1579015863.030487,ethernet,eth0,36002,37608,92750,76324,68578
1579015863.030487,ethernet,eth0-vip,0,0,0,0,0
1579015863.030487,ethernet,eth1,39943,47741,100036,110287,91690
1579015863.030487,ethernet,eth1-vip,0,0,0,0,0
1579015863.030487,ethernet,eth2,0,0,0,0,0
1579015863.030487,ethernet,eth3,0,0,0,0,0
1579016353.294655,ethernet,eth0,37795,36859,91260,84528,68578
1579016353.294655,ethernet,eth0-vip,0,0,0,0,0
1579016353.294655,ethernet,eth1,46260,44917,45004,98329,91690
1579016353.294655,ethernet,eth1-vip,0,0,0,0,0
1579016353.294655,ethernet,eth2,0,0,0,0,0
1579016353.294655,ethernet,eth3,0,0,0,0,0
1579016463.355088,ethernet,eth0,36555,38712,91577,84528,68578
1579016463.355088,ethernet,eth0-vip,0,0,0,0,0
1579016463.355088,ethernet,eth1,43978,45709,99450,98329,91690
1579016463.355088,ethernet,eth1-vip,0,0,0,0,0
1579016463.355088,ethernet,eth2,0,0,0,0,0
1579016463.355088,ethernet,eth3,0,0,0,0,0
1579016953.611057,ethernet,eth0,38148,37389,39065,75134,68578
1579016953.611057,ethernet,eth0-vip,0,0,0,0,0
1579016953.611057,ethernet,eth1,47640,45105,101855,95270,91690
1579016953.611057,ethernet,eth1-vip,0,0,0,0,0
1579016953.611057,ethernet,eth2,0,0,0,0,0
1579016953.611057,ethernet,eth3,0,0,0,0,0
1579017063.680487,ethernet,eth0,36513,37787,93707,75134,68578
1579017063.680487,ethernet,eth0-vip,0,0,0,0,0
1579017063.680487,ethernet,eth1,55813,51652,47869,95270,91690
1579017063.680487,ethernet,eth1-vip,0,0,0,0,0
1579017063.680487,ethernet,eth2,0,0,0,0,0
1579017063.680487,ethernet,eth3,0,0,0,0,0
1579017553.947753,ethernet,eth0,39968,37423,92022,74802,68133
1579017553.947753,ethernet,eth0-vip,0,0,0,0,0
1579017553.947753,ethernet,eth1,72985,56230,104994,93652,91095
1579017553.947753,ethernet,eth1-vip,0,0,0,0,0
1579017553.947753,ethernet,eth2,0,0,0,0,0
1579017553.947753,ethernet,eth3,0,0,0,0,0
1579017664.01308,ethernet,eth0,37832,37791,37293,74802,68133
1579017664.01308,ethernet,eth0-vip,0,0,0,0,0
1579017664.01308,ethernet,eth1,47578,48874,105186,93652,91095
1579017664.01308,ethernet,eth1-vip,0,0,0,0,0
1579017664.01308,ethernet,eth2,0,0,0,0,0
1579017664.01308,ethernet,eth3,0,0,0,0,0
1579018154.259028,ethernet,eth0,35275,35956,91496,74482,68133
1579018154.259028,ethernet,eth0-vip,0,0,0,0,0
1579018154.259028,ethernet,eth1,42410,47028,104082,92979,91095
1579018154.259028,ethernet,eth1-vip,0,0,0,0,0
1579018154.259028,ethernet,eth2,0,0,0,0,0
1579018154.259028,ethernet,eth3,0,0,0,0,0
1579018264.322971,ethernet,eth0,39019,37646,92771,74482,68133
1579018264.322971,ethernet,eth0-vip,0,0,0,0,0
1579018264.322971,ethernet,eth1,49465,48298,103506,92979,91095
1579018264.322971,ethernet,eth1-vip,0,0,0,0,0
1579018264.322971,ethernet,eth2,0,0,0,0,0
1579018264.322971,ethernet,eth3,0,0,0,0,0
1579018754.577958,ethernet,eth0,35213,34877,39892,74293,68133
1579018754.577958,ethernet,eth0-vip,0,0,0,0,0
1579018754.577958,ethernet,eth1,46138,44298,102651,92918,91095
1579018754.577958,ethernet,eth1-vip,0,0,0,0,0
1579018754.577958,ethernet,eth2,0,0,0,0,0
1579018754.577958,ethernet,eth3,0,0,0,0,0
1579018864.641228,ethernet,eth0,35384,36103,93114,74293,68133
1579018864.641228,ethernet,eth0-vip,0,0,0,0,0
1579018864.641228,ethernet,eth1,46810,48799,102802,92918,91095
1579018864.641228,ethernet,eth1-vip,0,0,0,0,0
1579018864.641228,ethernet,eth2,0,0,0,0,0
1579018864.641228,ethernet,eth3,0,0,0,0,0
1579019354.943031,ethernet,eth0,34893,37307,91807,74235,68133
1579019354.943031,ethernet,eth0-vip,0,0,0,0,0
1579019354.943031,ethernet,eth1,52915,52295,103463,102557,91095
1579019354.943031,ethernet,eth1-vip,0,0,0,0,0
1579019354.943031,ethernet,eth2,0,0,0,0,0
1579019354.943031,ethernet,eth3,0,0,0,0,0
1579019464.97191,ethernet,eth0,47575,38849,37183,74235,68133
1579019464.97191,ethernet,eth0-vip,0,0,0,0,0
1579019464.97191,ethernet,eth1,48368,47859,103244,102557,91095
1579019464.97191,ethernet,eth1-vip,0,0,0,0,0
1579019464.97191,ethernet,eth2,0,0,0,0,0
1579019464.97191,ethernet,eth3,0,0,0,0,0
1579020065.285127,ethernet,eth0,39930,38781,92181,74409,68133
1579020065.285127,ethernet,eth0-vip,0,0,0,0,0
1579020065.285127,ethernet,eth1,53762,50816,101691,93904,91095
1579020065.285127,ethernet,eth1-vip,0,0,0,0,0
1579020065.285127,ethernet,eth2,0,0,0,0,0
1579020065.285127,ethernet,eth3,0,0,0,0,0
1579020665.629449,ethernet,eth0,38167,38007,92422,74264,68133
1579020665.629449,ethernet,eth0-vip,0,0,0,0,0
1579020665.629449,ethernet,eth1,49151,49553,102476,94013,91095
1579020665.629449,ethernet,eth1-vip,0,0,0,0,0
1579020665.629449,ethernet,eth2,0,0,0,0,0
1579020665.629449,ethernet,eth3,0,0,0,0,0
1579021265.950071,ethernet,eth0,34414,34368,36342,74157,68097
1579021265.950071,ethernet,eth0-vip,0,0,0,0,0
1579021265.950071,ethernet,eth1,52417,585642,47723,93941,90580
1579021265.950071,ethernet,eth1-vip,0,0,0,0,0
1579021265.950071,ethernet,eth2,0,0,0,0,0
1579021265.950071,ethernet,eth3,0,0,0,0,0
1579021866.304789,ethernet,eth0,39477,35779,89278,73686,68097
