TIME,dpStatusHTTPMeanTransactionTime2serviceClass,dpStatusHTTPMeanTransactionTime2proxy,dpStatusHTTPMeanTransactionTime2tenSeconds,dpStatusHTTPMeanTransactionTime2oneMinute,dpStatusHTTPMeanTransactionTime2tenMinutes,dpStatusHTTPMeanTransactionTime2oneHour,dpStatusHTTPMeanTransactionTime2oneDay
1579817813.039541,multiProtocolGateway,customDomains,131,81,69,80,71
1579817813.039541,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579817813.039541,multiProtocolGateway,mbaas_uri_to_host,65,105,101,132,200
1579817813.039541,multiProtocolGateway,stats,0,0,0,0,0
1579818413.516621,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,241
1579818413.516621,multiProtocolGateway,customDomains,88,71,71,80,71
1579818413.516621,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579818413.516621,multiProtocolGateway,mbaas_uri_to_host,132,109,84,128,200
1579818413.516621,multiProtocolGateway,stats,0,0,0,0,0
1579819014.010325,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,241
1579819014.010325,multiProtocolGateway,customDomains,51,93,86,78,71
1579819014.010325,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579819014.010325,multiProtocolGateway,mbaas_uri_to_host,100,104,245,133,200
1579819014.010325,multiProtocolGateway,stats,0,0,0,0,0
1579819614.478427,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,241
1579819614.478427,multiProtocolGateway,customDomains,95,79,78,77,71
1579819614.478427,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579819614.478427,multiProtocolGateway,mbaas_uri_to_host,90,167,113,133,200
1579819614.478427,multiProtocolGateway,stats,0,0,0,0,0
1579820214.9436,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,241
1579820214.9436,multiProtocolGateway,customDomains,36,56,67,75,71
1579820214.9436,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579820214.9436,multiProtocolGateway,mbaas_uri_to_host,83,99,97,133,200
1579820214.9436,multiProtocolGateway,stats,0,0,0,0,0
1579820815.427495,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,241
1579820815.427495,multiProtocolGateway,customDomains,39,49,63,72,71
1579820815.427495,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579820815.427495,multiProtocolGateway,mbaas_uri_to_host,95,82,112,133,200
1579820815.427495,multiProtocolGateway,stats,0,0,0,0,0
1579821415.958626,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,241
1579821415.958626,multiProtocolGateway,customDomains,40,60,50,69,71
1579821415.958626,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579821415.958626,multiProtocolGateway,mbaas_uri_to_host,91,133,111,136,200
1579821415.958626,multiProtocolGateway,stats,0,0,0,0,0
1579822016.414827,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,241
1579822016.414827,multiProtocolGateway,customDomains,44,57,56,67,71
1579822016.414827,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579822016.414827,multiProtocolGateway,mbaas_uri_to_host,137,179,98,141,200
1579822016.414827,multiProtocolGateway,stats,0,0,0,0,0
1579822616.878245,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,241
1579822616.878245,multiProtocolGateway,customDomains,42,56,65,63,71
1579822616.878245,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579822616.878245,multiProtocolGateway,mbaas_uri_to_host,81,83,191,126,199
1579822616.878245,multiProtocolGateway,stats,0,0,0,0,0
1579823217.368479,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,241
1579823217.368479,multiProtocolGateway,customDomains,44,46,47,58,71
1579823217.368479,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579823217.368479,multiProtocolGateway,mbaas_uri_to_host,92,100,110,126,199
1579823217.368479,multiProtocolGateway,stats,0,0,0,0,0
1579823817.844968,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,241
1579823817.844968,multiProtocolGateway,customDomains,51,54,49,55,71
1579823817.844968,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579823817.844968,multiProtocolGateway,mbaas_uri_to_host,145,126,122,130,199
1579823817.844968,multiProtocolGateway,stats,0,0,0,0,0
1579824418.340352,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,241
1579824418.340352,multiProtocolGateway,customDomains,56,53,57,54,71
1579824418.340352,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
