TIME,dpStatusNetworkReceiveDataThroughputInterfaceType,dpStatusNetworkReceiveDataThroughputInterfaceName,dpStatusNetworkReceiveDataThroughputTenSecondsBits,dpStatusNetworkReceiveDataThroughputOneMinuteBits,dpStatusNetworkReceiveDataThroughputTenMinutesBits,dpStatusNetworkReceiveDataThroughputOneHourBits,dpStatusNetworkReceiveDataThroughputOneDayBits
1580996150.021515,ethernet,eth1-vip,0,0,0,0,0
1580996150.021515,ethernet,eth2,13,12,12,12,12
1580996150.021515,ethernet,eth3,0,0,0,0,0
1580996750.581249,ethernet,eth0,21398,25587,84618,98036,62395
1580996750.581249,ethernet,eth0-vip,0,0,0,0,0
1580996750.581249,ethernet,eth1,46735,47965,105469,144192,83990
1580996750.581249,ethernet,eth1-vip,0,0,0,0,0
1580996750.581249,ethernet,eth2,12,12,12,12,12
1580996750.581249,ethernet,eth3,0,0,0,0,0
1580997351.141512,ethernet,eth0,18902,26265,26966,92995,62395
1580997351.141512,ethernet,eth0-vip,0,0,0,0,0
1580997351.141512,ethernet,eth1,47506,588520,101180,130056,83990
1580997351.141512,ethernet,eth1-vip,0,0,0,0,0
1580997351.141512,ethernet,eth2,12,12,12,12,12
1580997351.141512,ethernet,eth3,0,0,0,0,0
1580997951.680736,ethernet,eth0,25542,27199,80309,77729,60447
1580997951.680736,ethernet,eth0-vip,0,0,0,0,0
1580997951.680736,ethernet,eth1,41268,43405,43674,124318,83557
1580997951.680736,ethernet,eth1-vip,0,0,0,0,0
1580997951.680736,ethernet,eth2,12,12,12,12,12
1580997951.680736,ethernet,eth3,0,0,0,0,0
1580998552.232407,ethernet,eth0,16504,24687,24828,72385,60447
1580998552.232407,ethernet,eth0-vip,0,0,0,0,0
1580998552.232407,ethernet,eth1,43341,44462,98224,109966,83557
1580998552.232407,ethernet,eth1-vip,0,0,0,0,0
1580998552.232407,ethernet,eth2,12,12,12,12,12
1580998552.232407,ethernet,eth3,0,0,0,0,0
1580999152.780214,ethernet,eth0,18233,20850,79204,58568,60447
1580999152.780214,ethernet,eth0-vip,0,0,0,0,0
1580999152.780214,ethernet,eth1,40785,42223,98717,96077,83557
1580999152.780214,ethernet,eth1-vip,0,0,0,0,0
1580999152.780214,ethernet,eth2,12,12,12,12,12
1580999152.780214,ethernet,eth3,0,0,0,0,0
1580999753.317045,ethernet,eth0,24848,23811,25089,55147,60447
1580999753.317045,ethernet,eth0-vip,0,0,0,0,0
1580999753.317045,ethernet,eth1,42608,44993,99127,92279,83557
1580999753.317045,ethernet,eth1-vip,0,0,0,0,0
1580999753.317045,ethernet,eth2,13,13,12,12,12
1580999753.317045,ethernet,eth3,0,0,0,0,0
1581000353.794993,ethernet,eth0,29394,29512,26440,53056,60447
1581000353.794993,ethernet,eth0-vip,0,0,0,0,0
1581000353.794993,ethernet,eth1,43930,588762,43590,90348,83557
1581000353.794993,ethernet,eth1-vip,0,0,0,0,0
1581000353.794993,ethernet,eth2,12,12,12,12,12
1581000353.794993,ethernet,eth3,0,0,0,0,0
1581000954.374856,ethernet,eth0,33788,31377,86371,53151,60447
1581000954.374856,ethernet,eth0-vip,0,0,0,0,0
1581000954.374856,ethernet,eth1,40999,45027,99886,89583,83557
1581000954.374856,ethernet,eth1-vip,0,0,0,0,0
1581000954.374856,ethernet,eth2,13,12,12,12,12
1581000954.374856,ethernet,eth3,0,0,0,0,0
1581001555.285037,ethernet,eth0,33233,43038,88667,54195,59012
1581001555.285037,ethernet,eth0-vip,0,0,0,0,0
1581001555.285037,ethernet,eth1,48243,52334,101914,89734,82832
1581001555.285037,ethernet,eth1-vip,0,0,0,0,0
1581001555.285037,ethernet,eth2,12,12,12,12,12
1581001555.285037,ethernet,eth3,0,0,0,0,0
1581002155.794122,ethernet,eth0,40297,45425,43827,56071,59012
1581002155.794122,ethernet,eth0-vip,0,0,0,0,0
1581002155.794122,ethernet,eth1,55077,57099,107990,81661,82832
1581002155.794122,ethernet,eth1-vip,0,0,0,0,0
1581002155.794122,ethernet,eth2,13,13,12,12,12
1581002155.794122,ethernet,eth3,0,0,0,0,0
1581002756.336141,ethernet,eth0,62904,65400,108716,68994,59012
1581002756.336141,ethernet,eth0-vip,0,0,0,0,0
1581002756.336141,ethernet,eth1,77520,74219,119004,101910,82832
1581002756.336141,ethernet,eth1-vip,0,0,0,0,0
1581002756.336141,ethernet,eth2,12,12,12,12,12
1581002756.336141,ethernet,eth3,0,0,0,0,0
1581003356.888376,ethernet,eth0,48669,595918,170582,74799,59012
1581003356.888376,ethernet,eth0-vip,0,0,0,0,0
1581003356.888376,ethernet,eth1,68815,67853,178405,106140,82832
1581003356.888376,ethernet,eth1-vip,0,0,0,0,0
1581003356.888376,ethernet,eth2,12,12,12,12,12
1581003356.888376,ethernet,eth3,0,0,0,0,0
1581003957.432514,ethernet,eth0,66687,65669,114499,89483,59012
1581003957.432514,ethernet,eth0-vip,0,0,0,0,0
1581003957.432514,ethernet,eth1,76971,76947,126164,110249,82832
1581003957.432514,ethernet,eth1-vip,0,0,0,0,0
1581003957.432514,ethernet,eth2,12,12,12,12,12
1581003957.432514,ethernet,eth3,0,0,0,0,0
1581004557.976382,ethernet,eth0,51371,57652,116904,95448,59012
1581004557.976382,ethernet,eth0-vip,0,0,0,0,0
1581004557.976382,ethernet,eth1,68432,71311,126365,115177,82832
1581004557.976382,ethernet,eth1-vip,0,0,0,0,0
1581004557.976382,ethernet,eth2,12,12,12,12,12
1581004557.976382,ethernet,eth3,0,0,0,0,0
1581005158.488882,ethernet,eth0,68761,73319,114689,108744,60997
1581005158.488882,ethernet,eth0-vip,0,0,0,0,0
1581005158.488882,ethernet,eth1,77303,613717,127339,128079,84435
1581005158.488882,ethernet,eth1-vip,0,0,0,0,0
1581005158.488882,ethernet,eth2,12,12,12,12,12
1581005158.488882,ethernet,eth3,0,0,0,0,0
1581005759.022681,ethernet,eth0,59837,65923,116216,113317,60997
1581005759.022681,ethernet,eth0-vip,0,0,0,0,0
1581005759.022681,ethernet,eth1,72385,74117,180457,141467,84435
1581005759.022681,ethernet,eth1-vip,0,0,0,0,0
1581005759.022681,ethernet,eth2,12,12,12,12,12
1581005759.022681,ethernet,eth3,0,0,0,0,0
1581006359.598384,ethernet,eth0,50979,60630,113110,115320,60997
1581006359.598384,ethernet,eth0-vip,0,0,0,0,0
1581006359.598384,ethernet,eth1,72994,73231,128248,134961,84435
1581006359.598384,ethernet,eth1-vip,0,0,0,0,0
1581006359.598384,ethernet,eth2,12,12,12,12,12
1581006359.598384,ethernet,eth3,0,0,0,0,0
1581006960.123375,ethernet,eth0,53185,75207,113611,114727,60997
1581006960.123375,ethernet,eth0-vip,0,0,0,0,0
1581006960.123375,ethernet,eth1,68675,604946,128148,144546,84435
1581006960.123375,ethernet,eth1-vip,0,0,0,0,0
1581006960.123375,ethernet,eth2,12,13,12,12,12
1581006960.123375,ethernet,eth3,0,0,0,0,0
1581007560.67054,ethernet,eth0,57357,60693,112004,114966,60997
1581007560.67054,ethernet,eth0-vip,0,0,0,0,0
1581007560.67054,ethernet,eth1,74255,71507,178660,145071,84435
1581007560.67054,ethernet,eth1-vip,0,0,0,0,0
1581007560.67054,ethernet,eth2,12,12,12,12,12
1581007560.67054,ethernet,eth3,0,0,0,0,0
1581008161.215627,ethernet,eth0,58780,61109,119973,123380,60997
1581008161.215627,ethernet,eth0-vip,0,0,0,0,0
1581008161.215627,ethernet,eth1,83448,77533,131284,145125,84435
1581008161.215627,ethernet,eth1-vip,0,0,0,0,0
1581008161.215627,ethernet,eth2,12,12,12,12,12
1581008161.215627,ethernet,eth3,0,0,0,0,0
1581008761.742905,ethernet,eth0,66178,59384,108524,123875,63856
1581008761.742905,ethernet,eth0-vip,0,0,0,0,0
1581008761.742905,ethernet,eth1,3283118,607032,125736,145834,87262
1581008761.742905,ethernet,eth1-vip,0,0,0,0,0
1581008761.742905,ethernet,eth2,12,12,12,12,12
1581008761.742905,ethernet,eth3,0,0,0,0,0
1581009362.232782,ethernet,eth0,60984,53601,113356,122446,63856
1581009362.232782,ethernet,eth0-vip,0,0,0,0,0
1581009362.232782,ethernet,eth1,73404,69130,179775,145207,87262
1581009362.232782,ethernet,eth1-vip,0,0,0,0,0
1581009362.232782,ethernet,eth2,13,12,12,12,12
1581009362.232782,ethernet,eth3,0,0,0,0,0
1581009962.780833,ethernet,eth0,51731,54427,108563,121832,63856
1581009962.780833,ethernet,eth0-vip,0,0,0,0,0
1581009962.780833,ethernet,eth1,69454,71160,124765,144911,87262
1581009962.780833,ethernet,eth1-vip,0,0,0,0,0
1581009962.780833,ethernet,eth2,12,12,12,12,12
1581009962.780833,ethernet,eth3,0,0,0,0,0
1581010563.361502,ethernet,eth0,60869,50988,109102,121639,63856
1581010563.361502,ethernet,eth0-vip,0,0,0,0,0
1581010563.361502,ethernet,eth1,68256,64947,122945,135568,87262
1581010563.361502,ethernet,eth1-vip,0,0,0,0,0
1581010563.361502,ethernet,eth2,12,12,12,12,12
1581010563.361502,ethernet,eth3,0,0,0,0,0
1581011163.935763,ethernet,eth0,59973,45454,101310,120338,63856
1581011163.935763,ethernet,eth0-vip,0,0,0,0,0
1581011163.935763,ethernet,eth1,63790,69581,118272,143474,87262
1581011163.935763,ethernet,eth1-vip,0,0,0,0,0
1581011163.935763,ethernet,eth2,12,12,12,12,12
1581011163.935763,ethernet,eth3,0,0,0,0,0
1581011764.603134,ethernet,eth0,50105,46576,102895,99801,63856
1581011764.603134,ethernet,eth0-vip,0,0,0,0,0
1581011764.603134,ethernet,eth1,62010,599390,170821,141864,87262
1581011764.603134,ethernet,eth1-vip,0,0,0,0,0
1581011764.603134,ethernet,eth2,13,12,12,12,12
1581011764.603134,ethernet,eth3,0,0,0,0,0
1581012365.226511,ethernet,eth0,29387,34236,96047,97758,65781
1581012365.226511,ethernet,eth0-vip,0,0,0,0,0
1581012365.226511,ethernet,eth1,52152,51601,111655,130719,89127
1581012365.226511,ethernet,eth1-vip,0,0,0,0,0
1581012365.226511,ethernet,eth2,12,12,12,12,12
1581012365.226511,ethernet,eth3,0,0,0,0,0
1581012965.731875,ethernet,eth0,26264,24179,31452,94584,65781
1581012965.731875,ethernet,eth0-vip,0,0,0,0,0
1581012965.731875,ethernet,eth1,50561,44004,48351,127587,89127
1581012965.731875,ethernet,eth1-vip,0,0,0,0,0
